,obs0,obs1,obs2,obs3,obs4,obs5,obs6,next_obs0,next_obs1,next_obs2,next_obs3,next_obs4,next_obs5,next_obs6,env_id0,env_vec0,env_vec1
59,-0.17860123934430824,0.5350233292045536,0.17106483109892984,0.04935190328582885,0.7067673578757345,-0.3795842887071774,-0.08681343329403594,-0.17033946789068174,0.5374068357566,0.16142372725007678,0.0465704617606444,0.7080381210303281,-0.36558491515131053,-0.10003162762910094,1.0,0.0,0.1
60,-0.17033946789068174,0.5374068357566,0.16142372725007678,0.0465704617606444,0.7061695950434519,-0.3586741002049547,-0.10361945942682754,-0.1625433245620662,0.539656009412486,0.15232598981281895,0.04394578049074765,0.7031518031970354,-0.3387038939792064,-0.12166625850876683,1.0,0.0,0.1
61,-0.1625433245620662,0.539656009412486,0.15232598981281895,0.04394578049074765,0.7035814793338675,-0.33622649208960426,-0.1238148872484782,-0.15518656685683602,0.541778421087834,0.1437409950057016,0.041469024568981515,0.7006997427998227,-0.3189496661367702,-0.1407527231664233,1.0,0.0,0.1
62,-0.15518656685683602,0.541778421087834,0.1437409950057016,0.041469024568981515,0.6992219478068407,-0.31447274453435686,-0.1457902249814361,-0.1482444312838778,0.5437812150063315,0.135639844983895,0.039131857017873514,0.6941548042496475,-0.29762137492383123,-0.16474052910955492,1.0,0.0,0.1
63,-0.1482444312838778,0.5437812150063315,0.135639844983895,0.039131857017873514,0.6915620151247911,-0.2930796705164729,-0.16732242568400962,-0.14169355000650882,0.5456711327478144,0.12799527056651647,0.03692641072663904,0.682726732188805,-0.2758372192859927,-0.1831568906458297,1.0,0.0,0.1
64,-0.14169355000650882,0.5456711327478144,0.12799527056651647,0.03692641072663904,0.6805398378047915,-0.2731422612747705,-0.1900848535104733,-0.13551187218429128,0.5474545359410155,0.1207815394461778,0.034845261969797016,0.669774367427982,-0.2597315914369713,-0.21059527804415087,1.0,0.0,0.1
65,-0.13551187218429128,0.5474545359410155,0.1207815394461778,0.034845261969797016,0.6694719562569844,-0.256021949792518,-0.2140255407229359,-0.12967858974797095,0.5491374276773638,0.11397436957178375,0.032881405418259436,0.6618579353149466,-0.24406156644066998,-0.23262973642486162,1.0,0.0,0.1
66,-0.12967858974797095,0.5491374276773638,0.11397436957178375,0.032881405418259436,0.6648704647699899,-0.24811180617807949,-0.24863898771125964,-0.12417406735769261,0.5507254727179168,0.10755084741302019,0.031028230558779728,0.6691420306335647,-0.25312353258564124,-0.2771052762536164,1.0,0.0,0.1
67,-0.12417406735769261,0.5507254727179168,0.10755084741302019,0.031028230558779728,0.6662393488645921,-0.24661716292668845,-0.27383085459147144,-0.11897977630872555,0.5522240165614425,0.10148935083140308,0.029279499442385913,0.6708511143285072,-0.24348896677196277,-0.2757434912151721,1.0,0.0,0.1
68,-0.11897977630872555,0.5522240165614425,0.10148935083140308,0.029279499442385913,0.6707894560001567,-0.2415929024701833,-0.27611709106398824,-0.1140782321622197,0.5536381034378367,0.09576947629826559,0.0276293256868977,0.6715946448348975,-0.237474314095548,-0.2782726463841959,1.0,0.0,0.1
69,-0.1140782321622197,0.5536381034378367,0.09576947629826559,0.0276293256868977,0.670098125479963,-0.23342818861265355,-0.27740755472476114,-0.10945293589105226,0.5549724932874426,0.09037197021469266,0.02607215466284827,0.6656592835303997,-0.22302246306974768,-0.2775806775382739,1.0,0.0,0.1
70,-0.09630781135545172,0.5557614077003445,0.5466600610900043,-0.14263262515602373,0.6328803554135232,-0.17563571866735647,-0.2856559426394898,-0.06896339578424387,0.5484946396372787,0.5560077115530468,-0.1512548913315615,0.618522360944074,-0.15513957774331394,-0.28590022076665267,1.0,0.0,0.1
71,-0.06852238016882778,0.5483245154335374,0.6116747448058006,-0.17330659149054173,0.615347378595078,-0.15085993726934296,-0.2860539413296286,-0.035647096398436974,0.5385289191295498,0.6829708845339343,-0.20931669375888842,0.5977997485452573,-0.12830061964187905,-0.2868341485050667,1.0,0.0,0.1
72,-0.035526299763307415,0.5384808244793219,0.6830937980392322,-0.20913375334599701,0.5952736533287359,-0.12372798570638113,-0.2848267233595132,-0.0013930099281834023,0.5278733482504049,0.6756203360755914,-0.21103989878730275,0.579697754235077,-0.10160644162068949,-0.2798095932722711,1.0,0.0,0.1
73,-0.0005017650184558475,0.5274593579598903,0.7168119144747164,-0.2301683255485596,0.5730411124724903,-0.09522756186397796,-0.2817796200498504,0.03679725564655891,0.5150556248580042,0.7708568786178376,-0.26323945967561163,0.552235051942106,-0.07141744269697797,-0.2799160342096219,1.0,0.0,0.1
74,0.03587999843138316,0.5155034029170474,0.7368176474230954,-0.2462605831110325,0.5475483269234978,-0.06589866217298501,-0.278823405701506,0.0735800142420972,0.5025291097487599,0.7659147829186854,-0.268834994855613,0.5250129215878956,-0.0427287332528101,-0.277078358425992,1.0,0.0,0.1
75,0.07585624042534046,0.5013351987378244,0.8449718565126401,-0.3113386289849006,0.5177596898363624,-0.0358359484535154,-0.27676664051513084,0.1214446869984903,0.48343364383775655,0.9529744890525618,-0.3893376886840939,0.4903697208379928,-0.011354427934785555,-0.275630726293308,1.0,0.0,0.1
76,0.11770879576244579,0.48568558281743945,0.8252927082755224,-0.31042464147053916,0.4853970955976853,-0.00734359484697375,-0.275973809335082,0.15825121527317965,0.4702417583980741,0.800155703469758,-0.3071478596942813,0.4590838485501383,0.013711366826732102,-0.27517615437950377,1.0,0.0,0.1
77,0.1610294128933731,0.46839289368896325,0.8947315010098161,-0.3710074521459473,0.4506998625597797,0.019940733858331672,-0.2750325644676756,0.20772088057087706,0.4479161615124735,0.9548175461412322,-0.43207471257034213,0.4206993847516741,0.0412127277345814,-0.27392195252737606,1.0,0.0,0.1
78,0.20670397234504212,0.44866445557836654,0.9233531213876569,-0.4088158984222294,0.4135561110638533,0.046059106426456164,-0.27349490639195073,0.25129836624173835,0.42892022470591934,0.8713135333830789,-0.3857752973446679,0.3815469814580451,0.06607952719521837,-0.27215646209558886,1.0,0.0,0.1
79,0.25129836624173835,0.42892022470591934,0.8713135333830789,-0.3857752973446679,0.37117274449599846,0.07213151060634077,-0.27156392612071056,0.2933794487823086,0.4102887659856097,0.8222068630856685,-0.36403324972372136,0.3318678775052254,0.09298600344222613,-0.2696791341296463,1.0,0.0,0.1
80,0.2933794487823086,0.4102887659856097,0.8222068630856685,-0.36403324972372136,0.32079573525622157,0.09864523020118099,-0.2682071274215382,0.3330888685781784,0.39270736429469755,0.7758678131399535,-0.3435165699218273,0.2742732420206348,0.11887581141364584,-0.2642054375139415,1.0,0.0,0.1
81,0.3330888685781784,0.39270736429469755,0.7758678131399535,-0.3435165699218273,0.2652917469956827,0.1218310678620938,-0.26507160361363435,0.37056029101614435,0.376116839094421,0.7321404022430938,-0.3241561969968816,0.2191135744084038,0.1365039092493618,-0.26352140647185374,1.0,0.0,0.1
82,0.37056029101614435,0.376116839094421,0.7321404022430938,-0.3241561969968816,0.20553221652037823,0.14102891853944194,-0.25984910731929456,0.40591984818777893,0.36046134522311685,0.6908774400981479,-0.3058869622370564,0.1542977288481502,0.15340063558442607,-0.25165636122458523,1.0,0.0,0.1
83,0.40591984818777893,0.36046134522311685,0.6908774400981479,-0.3058869622370564,0.14452863153668322,0.15419679126513114,-0.25484402297653674,0.439286563461104,0.34568818491651276,0.6519400319586343,-0.2886473697972045,0.0976200496662197,0.16337237136228155,-0.24335606574363378,1.0,0.0,0.1
84,0.439286563461104,0.34568818491651276,0.6519400319586343,-0.2886473697972045,0.08417777365383224,0.16418411973106628,-0.24289836932554848,0.47077275212367764,0.33174763042243455,0.6151971110966435,-0.27237938969845626,0.035597810467604366,0.16824610252299638,-0.233172345645933,1.0,0.0,0.1
85,0.47077275212367764,0.33174763042243455,0.6151971110966435,-0.27237938969845626,0.03440137746470198,0.1745497467880146,-0.22187914012472382,0.5004843994456943,0.31859275661283476,0.5805249976207473,-0.2570282624942249,0.006897025727603881,0.18451051115229222,-0.2013122638732915,1.0,0.0,0.1
86,0.5004843994456943,0.31859275661283476,0.5805249976207473,-0.2570282624942249,-0.008271353209339222,0.1842711979769952,-0.19481414760199084,0.5285215174356919,0.3061792830296998,0.5478069821586444,-0.24254231494511125,-0.04157277697545471,0.18925078505122755,-0.17224211312277282,1.0,0.0,0.1
